# Known Mersenne Primes (M1-M52)
# Source: GIMPS (Great Internet Mersenne Prime Search)
# Last Updated: January 6, 2026

Rank,Exponent_n,Digits,Discovery_Year
M1,2,1,Ancient
M2,3,1,Ancient
M3,5,2,Ancient
M4,7,3,Ancient
M5,13,4,1456
M6,17,6,1588
M7,19,6,1588
M8,31,10,1772
M9,61,19,1883
M10,89,27,1911
M11,107,33,1914
M12,127,39,1876
M13,521,157,1952
M14,607,183,1952
M15,1279,386,1952
M16,2203,664,1952
M17,2281,687,1952
M18,3217,969,1957
M19,4253,1281,1961
M20,4423,1332,1961
M21,9689,2917,1963
M22,9941,2993,1963
M23,11213,3376,1963
M24,19937,6002,1971
M25,21701,6533,1978
M26,23209,6987,1979
M27,44497,13395,1979
M28,86243,25962,1982
M29,110503,33265,1988
M30,132049,39751,1983
M31,216091,65050,1985
M32,756839,227832,1992
M33,859433,258716,1994
M34,1257787,378632,1996
M35,1398269,420921,1996
M36,2976221,895932,1997
M37,3021377,909526,1998
M38,6972593,2098960,1999
M39,13466917,4053946,2001
M40,20996011,6320430,2003
M41,24036583,7235733,2004
M42,25964951,7816230,2005
M43,30402457,9152052,2005
M44,32582657,9808358,2006
M45,37156667,11185272,2008
M46,42643801,12837064,2009
M47,43112609,12978189,2008
M48,57885161,17425170,2013
M49,74207281,22338618,2016
M50,77232917,23249425,2018
M51,82589933,24862048,2018
M52,136279841,41024320,2024
